id,company_id,esb_id,product_esb_id,code,name,output_qty,flag_active,bom_type_id,bom_type_name,product_name,uom_name,raw_data,synced_at,updated_at
279,1,268,,,Rasa Yang Pernah Ada,1.00,true,3,Menu,,,"{""bomID"":268,""notes"":"""",""bomCode"":"""",""bomName"":""Rasa Yang Pernah Ada"",""uomName"":null,""bomTypeID"":3,""flagActive"":1,""bomTypeName"":""Menu"",""productName"":null}",2026-08-21 18:25:37.136637+00,2026-08-28 06:30:34.085877+00
280,1,269,,,Regal,1.00,true,3,Menu,,,"{""bomID"":269,""notes"":"""",""bomCode"":"""",""bomName"":""Regal"",""uomName"":null,""bomTypeID"":3,""flagActive"":1,""bomTypeName"":""Menu"",""productName"":null}",2026-08-21 18:25:37.136637+00,2026-08-28 06:30:34.085877+00
281,1,98,,MILK-00003,Regal Cheese,1.00,true,3,Menu,,,"{""bomID"":98,""notes"":"""",""bomCode"":""MILK-00003"",""bomName"":""Regal Cheese"",""uomName"":null,""bomTypeID"":3,""flagActive"":1,""bomTypeName"":""Menu"",""productName"":null}",2026-08-21 18:25:37.136637+00,2026-08-28 06:30:34.085877+00
282,1,188,,MILK-00006,Regal Rum,1.00,true,3,Menu,,,"{""bomID"":188,""notes"":"""",""bomCode"":""MILK-00006"",""bomName"":""Regal Rum"",""uomName"":null,""bomTypeID"":3,""flagActive"":1,""bomTypeName"":""Menu"",""productName"":null}",2026-08-21 18:25:37.136637+00,2026-08-28 06:30:34.085877+00
283,1,300,,REGU-00010,Regular Gula Jawa,1.00,true,3,Menu,,,"{""bomID"":300,""notes"":"""",""bomCode"":""REGU-00010"",""bomName"":""Regular Gula Jawa"",""uomName"":null,""bomTypeID"":3,""flagActive"":1,""bomTypeName"":""Menu"",""productName"":null}",2026-08-21 18:25:37.136637+00,2026-08-28 06:30:34.085877+00
284,1,302,,REGU-00012,Regular Gula Jawa 1Lt,1.00,true,3,Menu,,,"{""bomID"":302,""notes"":"""",""bomCode"":""REGU-00012"",""bomName"":""Regular Gula Jawa 1Lt"",""uomName"":null,""bomTypeID"":3,""flagActive"":1,""bomTypeName"":""Menu"",""productName"":null}",2026-08-21 18:25:37.136637+00,2026-08-28 06:30:34.085877+00
285,1,362,,REGU-00013,Regular Gula Jawa Tumbler,1.00,true,3,Menu,,,"{""bomID"":362,""notes"":"""",""bomCode"":""REGU-00013"",""bomName"":""Regular Gula Jawa Tumbler"",""uomName"":null,""bomTypeID"":3,""flagActive"":1,""bomTypeName"":""Menu"",""productName"":null}",2026-08-21 18:25:37.136637+00,2026-08-28 06:30:34.085877+00
286,1,299,,REGU-00009,Regular Gula Kelapa,1.00,true,3,Menu,,,"{""bomID"":299,""notes"":"""",""bomCode"":""REGU-00009"",""bomName"":""Regular Gula Kelapa"",""uomName"":null,""bomTypeID"":3,""flagActive"":1,""bomTypeName"":""Menu"",""productName"":null}",2026-08-21 18:25:37.136637+00,2026-08-28 06:30:34.085877+00
287,1,301,,REGU-00011,Regular Gula Kelapa 1Lt,1.00,true,3,Menu,,,"{""bomID"":301,""notes"":"""",""bomCode"":""REGU-00011"",""bomName"":""Regular Gula Kelapa 1Lt"",""uomName"":null,""bomTypeID"":3,""flagActive"":1,""bomTypeName"":""Menu"",""productName"":null}",2026-08-21 18:25:37.136637+00,2026-08-28 06:30:34.085877+00
288,1,365,,REGU-00014,Reguler Gula Kelapa Thumbler,1.00,true,3,Menu,,,"{""bomID"":365,""notes"":"""",""bomCode"":""REGU-00014"",""bomName"":""Reguler Gula Kelapa Thumbler"",""uomName"":null,""bomTypeID"":3,""flagActive"":1,""bomTypeName"":""Menu"",""productName"":null}",2026-08-21 18:25:37.136637+00,2026-08-28 06:30:34.085877+00
289,1,320,,SDISH-005-NEW,ROTI KUKUS COKLAT,1.00,true,3,Menu,,,"{""bomID"":320,""notes"":"""",""bomCode"":""SDISH-005-NEW"",""bomName"":""ROTI KUKUS COKLAT"",""uomName"":null,""bomTypeID"":3,""flagActive"":1,""bomTypeName"":""Menu"",""productName"":null}",2026-08-21 18:25:37.136637+00,2026-08-28 06:30:34.085877+00
290,1,321,,SDISH-006-NEW,ROTI KUKUS COKLAT KEJU,1.00,true,3,Menu,,,"{""bomID"":321,""notes"":"""",""bomCode"":""SDISH-006-NEW"",""bomName"":""ROTI KUKUS COKLAT KEJU"",""uomName"":null,""bomTypeID"":3,""flagActive"":1,""bomTypeName"":""Menu"",""productName"":null}",2026-08-21 18:25:37.136637+00,2026-08-28 06:30:34.085877+00
291,1,322,,SDISH-007,ROTI KUKUS COKLAT KEJU ES KRIM,1.00,true,3,Menu,,,"{""bomID"":322,""notes"":"""",""bomCode"":""SDISH-007"",""bomName"":""ROTI KUKUS COKLAT KEJU ES KRIM"",""uomName"":null,""bomTypeID"":3,""flagActive"":1,""bomTypeName"":""Menu"",""productName"":null}",2026-08-21 18:25:37.136637+00,2026-08-28 06:30:34.085877+00
292,1,179,,SIDE-00006,Roti Pandan Coklat,1.00,true,3,Menu,,,"{""bomID"":179,""notes"":"""",""bomCode"":""SIDE-00006"",""bomName"":""Roti Pandan Coklat"",""uomName"":null,""bomTypeID"":3,""flagActive"":1,""bomTypeName"":""Menu"",""productName"":null}",2026-08-21 18:25:37.136637+00,2026-08-28 06:30:34.085877+00
293,1,122,,SIDE-00007,Roti Pandan Coklat Keju,1.00,true,3,Menu,,,"{""bomID"":122,""notes"":"""",""bomCode"":""SIDE-00007"",""bomName"":""Roti Pandan Coklat Keju"",""uomName"":null,""bomTypeID"":3,""flagActive"":1,""bomTypeName"":""Menu"",""productName"":null}",2026-08-21 18:25:37.136637+00,2026-08-28 06:30:34.085877+00
294,1,84,,SIDE-00008,Roti Pandan Coklat Keju Ice Cream,1.00,true,3,Menu,,,"{""bomID"":84,""notes"":"""",""bomCode"":""SIDE-00008"",""bomName"":""Roti Pandan Coklat Keju Ice Cream"",""uomName"":null,""bomTypeID"":3,""flagActive"":1,""bomTypeName"":""Menu"",""productName"":null}",2026-08-21 18:25:37.136637+00,2026-08-28 06:30:34.085877+00
295,1,126,,MAIN-00001,Shortplate Rice Creamy Garlic,1.00,true,3,Menu,,,"{""bomID"":126,""notes"":"""",""bomCode"":""MAIN-00001"",""bomName"":""Shortplate Rice Creamy Garlic"",""uomName"":null,""bomTypeID"":3,""flagActive"":1,""bomTypeName"":""Menu"",""productName"":null}",2026-08-21 18:25:37.136637+00,2026-08-28 06:30:34.085877+00
296,1,133,,MAIN-00005,Shortplate Rice Korean Sauce,1.00,true,3,Menu,,,"{""bomID"":133,""notes"":"""",""bomCode"":""MAIN-00005"",""bomName"":""Shortplate Rice Korean Sauce"",""uomName"":null,""bomTypeID"":3,""flagActive"":1,""bomTypeName"":""Menu"",""productName"":null}",2026-08-21 18:25:37.136637+00,2026-08-28 06:30:34.085877+00
297,1,105,,MAIN-00002,Shortplate Rice Mushroom Truffle,1.00,true,3,Menu,,,"{""bomID"":105,""notes"":"""",""bomCode"":""MAIN-00002"",""bomName"":""Shortplate Rice Mushroom Truffle"",""uomName"":null,""bomTypeID"":3,""flagActive"":1,""bomTypeName"":""Menu"",""productName"":null}",2026-08-21 18:25:37.136637+00,2026-08-28 06:30:34.085877+00
298,1,165,,SMTH-00004,Smooth Banana Tiramisu,1.00,true,3,Menu,,,"{""bomID"":165,""notes"":"""",""bomCode"":""SMTH-00004"",""bomName"":""Smooth Banana Tiramisu"",""uomName"":null,""bomTypeID"":3,""flagActive"":1,""bomTypeName"":""Menu"",""productName"":null}",2026-08-21 18:25:37.136637+00,2026-08-28 06:30:34.085877+00
